"Author","Date","Text","Class"
"King uzzy","2014-11-07T23:19:08","Can we reach 3 billion views by December 2014? ?","ham"
"Gio D.","2014-11-07T23:23:54","Dumb Guy: Why is there 2 billion views when there are 7 million people on  earth??? Also, I know what 1+1 equals! 1+1=1! I am a smartie pants?","ham"
"anthony Jennings","2014-11-07T23:26:04","People Who Say That This Song Is Too Old Now, There's No Point Of  Listening To It Suck. Just Stfu And Enjoy The Music. So, Your Mom Is Old  Too But You Still Listen To Her Right?....?","ham"
"TheLegitBroz","2014-11-08T00:26:35","The Funny Thing Is That this song was made in 2009 but it took 2 years to  get to america.?","ham"
"mindaugux","2014-11-08T00:36:31","why I dont see any comments but mine?:/?","ham"
"Bert Ernie","2014-11-08T00:45:40","this jap is such a piece of shit. he is such a worthless fish head. i dont  know how any one likes this dumb untanlted gook. this isnt even fucken  music. this is so fucking sad that this is even such thing. people are so  fucked up.?","ham"
"Tabby Ghani","2014-11-08T01:28:58","I remember when everyone was obsessed with Gangnam Style ??","ham"
"UKz DoleSnacher","2014-11-08T02:18:42","Remove This video its wank?","ham"
"JD COKE","2014-11-08T02:24:02","It's so hard, sad :( iThat little child Actor HWANG MINOO dancing very  active child is suffering from brain tumor, only 6 month left for him .Hard  to believe .. Keep praying everyone for our future superstar.  #StrongLittlePsY #Fighting  SHARE EVERYONE PRAYING FOR HIM http://ygunited.com/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/ ?","spam"
"Joaco Remis","2014-11-08T02:29:17","Why the fuck this keeps updated? Comments :5 minutes ago Song: 2 years and  4 months ago?","ham"
"TheRogueScorpion","2014-11-08T02:45:12","MANY MEMORIES...........?","ham"
"John Schmidt","2014-11-08T02:58:48","why are they 5million comments when there is only 279.898 youtube Users.   5million fake account or PSY hacked youtube?","ham"
"Sean Deko","2014-11-08T03:08:58","2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song?","ham"
"Nikolay Tekuchev","2014-11-08T03:09:11","This video is so cool, again and again!?","ham"
"PinkyThePuppyProductions","2014-11-08T03:11:40","I am now going to voyage to the first comment...      Tell my family I loved them. ??","ham"
"Sev3617","2014-11-08T03:15:09","How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ?","ham"
"Gema LR","2014-11-08T03:26:51","With the korean girl more slut and bitch : Hyuna :'33?","ham"
"Dana Matich","2014-11-08T03:32:55","Hey guys! Check this out: Kollektivet - Don't be slappin' my penis!  I  think that they deserve much more credit than they receive.?","spam"
"Angela Flemming","2014-11-08T03:46:33","Still a very fun music video to watch! ?","ham"
"itzquiffer","2014-11-08T03:47:23","C'mon 3 billion views!!!!!!!!?","ham"
"The Bibliophile Flautist","2014-11-08T03:49:38","Hey everyone, I am a new channel and will post videos of book reviews and  music on the flute. Please subscribe if you would enjoy that. Thanks!?","spam"
"Wilfredo Latorre","2014-11-08T04:02:29","Hey I think I know what where dealing with here!!!! I have some theories of  how this could've gotten 2billion hits!! 1. This was mabey made in korea and its realy popular there so they were  stuck watching this over and over again. 2. Over 2billion people have access to the Internet, including youtube, and  the numbers are rising, by 2017 half of the populatoin will be connected. 3. Hackers In Korea may have loved it so much they rised it to 2billion  hits to make it more popular.  4. The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video. 5. You are complaining to much on how the heck this has 2b hits.?","ham"
"Tornike Noniashvili","2014-11-08T04:08:09","subscribe my chanel?","spam"
"Diana Roque","2014-11-08T04:43:22","THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg?","ham"
"bruno jovao","2014-11-08T04:51:38","LoL?","ham"
"Spencer Clark","2014-11-08T05:29:26","If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.?","ham"
"Haley Harmicar","2014-11-08T05:35:42","9 year olds be like, 'How does this have 2 billion views when there are  only 3 people in the world'?","ham"
"Kincaid Liebenberg","2014-11-08T05:36:38","PSY is a good guy?","ham"
"CHILD","2014-11-08T05:46:31","WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING?","ham"
"CustomerService GM","2014-11-08T05:52:30","https://www.facebook.com/pages/Mathster-WP/1495323920744243?ref=hl?","spam"
"sahil samal","2014-11-08T06:28:01","1 millioon dislikesssssssssssssssssssssssssssssssss.............?","ham"
"Doris Chew","2014-11-08T06:29:16","The little PSY is suffering Brain Tumor and only has 6 more months to live.  Please pray to him and the best lucks.?","ham"
"hunter braddock","2014-11-08T06:36:41","For all of the little kidz out there there is Like 7 to 8 Billon people on  earth NOT 7 to 8 MILLON.Get you facts straight before posting comments.?","ham"
"Arrestme11","2014-11-08T06:50:39","How stupid humanity is?","ham"
"The O'dowd Crowd","2014-11-08T06:53:38","Come and watch my video it is called the odowd crowd zombie movie part 1 ?","spam"
"FaceTheFacts","2014-11-08T07:07:44","You know a song sucks dick when you need to use google translate to know  what the fuck its saying!?","ham"
"x Judda","2014-11-08T07:19:29","We get it, you came here for the views... ?","ham"
"Kelsey bolley","2014-11-08T07:25:39","Wow this video is the most viewed youtube video.. second that comes Justin  bieber- baby SMH WHAT HAS THE WORLD COME TO?","ham"
"Markus Mairhofer","2014-11-08T08:49:47","Hey, join me on tsū, a publishing platform where I share my content now:  http://tsu.co/MarkusMairhofer?","spam"
"Wert Walleet","2014-11-08T09:15:22","This song is great there are 2,127,315,950 views wow?","ham"
"Hollz C","2014-11-08T09:17:52","I'm watching this in 2014?","ham"
"The Silhouette","2014-11-08T09:25:51","Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...?","ham"
"Agarra Mela","2014-11-08T09:32:14","how does this video have 2,127,322,484 views if there are only 7 million  people on earth??","ham"
"Tedi Foto","2014-11-08T09:33:30","What my gangnam style?","ham"
"StarBlade34 OverLord","2014-11-08T09:34:57","Lol this youtuber (officialpsy) is getting so much money lol?","ham"
"Super Cot","2014-11-08T09:39:28","1 million dislikes!EPIC FAIL(ready for you fanboys)?","ham"
"restlesswikiinfo","2014-11-08T10:03:32","If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.?","ham"
"Susan Jay","2014-11-08T10:04:22","Enough with the whole how does this have two billion views if there's only  7 million on the planet we get it. You're joking. It's not funny anymore.?","ham"
"diego acosta","2014-11-08T10:05:27","If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe  from the face of earth One Direction and Miley Cirus.?","spam"
"Harrys Edits","2014-11-08T10:05:40","if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!?","spam"
"piwnugget","2014-11-08T10:12:42","YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!?","ham"
"ThoseFour KidsYaay","2014-11-08T10:14:47","2 billion for this shit??","ham"
"Mia Aspinall","2014-11-08T10:30:35","2 billion views, only 2 million shares?","ham"
"DylsFS","2014-11-08T10:40:00","Hi guys my name is Dylan and I do IRL football videos I have 1030  subscribers and I think you guys would like my content so come check it out  and if you do subscribe!?","spam"
"nobleMC | Minecraft, GFX and More!","2014-11-08T10:48:41","If I get 300 subscribers by tomorrow I'll do a epic Hunger Games Video! ?","spam"
"zakaia ziko","2014-11-08T11:00:19","follower please https://www.facebook.com/lists/161620527267482?","spam"
"Praise Samuel","2014-11-08T11:10:30","2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name?","ham"
"nathan robson","2014-11-08T11:20:48","If i reach 100 subscribers i will tazz my self and my friend?","spam"
"Navin Surya","2014-11-08T11:42:57","Please help me go to college guys! Thanks from the bottom of my heart.  https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175?","spam"
"Bishwaroop Bhattacharjee","2014-11-08T12:34:11","https://www.facebook.com/SchoolGeniusNITS/photos/ms.c.eJw9kVkOxDAMQm808h5z~;4sNjqP~_tHqBEuM69AQUp1Ih~_fPHgk5zLLsVdQv0ZUf0MB~;LnUJ~;ufTH4YoKfRxYts2zvrrp6qGtw67y~;L551h~;f7~_vlcZzRG8vGCTlPSD9ONGeWhj8~_GIbu~;S3lzMvY~;IQ2~;TwSfzz9WHn7JUSvHufpglQRZczl05fNPhaGeVb3x8yDmC6X~_~;jTcjnMho~;vfXWCjZyvWObihrnGx2ocjnG2PG1EvHXzyjD~_o3h~_RY6f57sPrnD2xV~;~_BzszZ~;8~-.bps.a.390875584405933/391725794320912/?type=1&amp;theater ?","spam"
"Liu Chu Yi","2014-11-08T13:12:10","I am so awesome and smart!!! Sucscribe to me!?","spam"
"iKap Taz","2014-11-08T13:34:27","Follow 4 Follow                           @ VaahidMustafic Like 4 Like ?","spam"
"Serkan Kaya","2014-11-08T15:27:27","http://hackfbaccountlive.com/?ref=4436607  psy news off?cal ?","spam"
"Bizzle Sperq","2014-11-08T15:29:46","https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3?","spam"
"Elieo Cardiopulmonary","2014-11-08T15:29:52","im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.?","spam"
"Luna Gamer Potter","2014-11-09T02:42:40"," I hate this song! ?","ham"
"Thomas sea","2014-11-09T04:49:20","please throw a sub on my channel?","spam"
"This Is Really Not Lois Arceo","2014-11-10T13:25:27","NEW GOAL!   3,000,000!  Let's go for it!?","ham"
"Niggly Wiggly","2014-11-10T17:39:10","Go to my channel if u want to see a fly getting burned alive?","spam"
"DropItLikeItsSloth","2014-11-11T19:38:11","just came here to check the views :P?","ham"
"Itss Synco","2014-11-11T22:37:23","COME AND CHECK OUT MY NEW YOUTUBE CHHANEL, GOING TO BE POSTING DAILY!?","spam"
"Puppy Lover5614","2014-11-11T22:48:11","I hav absolutely no idea what he's saying. Is it even a language??","ham"
"Mason Sieverding","2014-11-12T00:52:51","Please check out my vidios guys?","spam"
"Robin Delwiche","2014-11-12T01:37:07","I still to this day wonder why this video is so popular ?? illuminati  confirmed ???","ham"
"LBEProductions","2014-11-12T01:40:22","Hey guys can you check my channel out plz. I do mine craft videos. Let's  shoot for 20 subs?","spam"
"Thuan Lai Tran","2014-11-12T05:01:52","This is getting old.........?","ham"
"Aaa Aaa","2014-11-12T05:46:27","PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?","spam"
"BIGMOFO Tonkatruck","2014-11-12T06:26:42","just came to check the view count?","ham"
"Young IncoVEVO","2014-11-12T07:14:06","Check out my Music Videos! Fuego - U LA LA Remix  hyperurl.co/k6a5xt?","spam"
"Young IncoVEVO","2014-11-12T07:14:46","Check out my Music Videos! and PLEASE SUBSCRIBE!!!! Fuego - U LA LA Remix  hyperurl.co/k6a5xt?","spam"
"Viperas Lord","2014-11-12T09:20:12","www.marketglory.com/strategygame/lordviperas?","spam"
"Yabbamita DBH","2014-11-12T09:30:20","If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now. ?","ham"
"Muhd Hafiz","2014-11-12T09:30:31","WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!! XD?","ham"
"Juris Dumagan","2014-11-12T11:03:25","I think he was drunk during this :) x)?","ham"
"Patrick Pernia","2014-11-12T14:17:28","Limit sun exposure while driving. Eliminate the hassle of having to swing  the car visor between the windshield and window.  https://www.kickstarter.com/projects/733634264/visortwin?","spam"
"Jennifer Isaksen","2014-11-12T15:12:47","Hahah, juyk! I allways laugh at the part 1:57.. LOL!?","ham"
"Ripazha Gaming","2014-11-12T17:37:08","http://hackfbaccountlive.com/?ref=5242575?","spam"
"Arthur Teixeira","2014-11-12T20:12:47","I wanted to know the name of the guy that dances at 00:58, anybody knows ??","ham"
"derrick lawson","2014-11-12T20:21:27","https://www.facebook.com/FUDAIRYQUEEN?pnref=story?","spam"
"Yeung Marvin","2014-11-12T23:56:54","Haha its so funny to see the salt of westerners that top views of youtube  goes to video they dont even understand, keep the salt up!?","ham"
"Stuart Mcdonald","2014-11-13T00:38:14","FOLLOW MY COMPANY ON TWITTER  thanks.  https://twitter.com/TheWaxedHatCo?","spam"
"Caius Ballad","2014-11-13T00:58:20","imagine if this guy put adsense on with all these views... u could pay ur  morgage?","ham"
"Ink Video Shorts","2014-11-13T02:33:53","Hey come check us out were new on youtube let us know what you think and  don't forget to subscribe thanks.?","spam"
"Sigaraya Nesora","2014-11-13T06:33:21","The girl in the train who was dancing, her outfit was so fucking sexy, but  the huge turn-off was she lacked eyebrows D:?","ham"
"Александр Федоров","2014-11-13T07:59:33","Look at the pictures, if not difficult http://image2you.ru/48051/1340524/        http://image2you.ru/48051/1340523/          http://image2you.ru/48051/1340522/ http://image2you.ru/48051/1340521/             http://image2you.ru/48051/1340520/       http://image2you.ru/48051/1340519/  http://image2you.ru/48051/1340518/            http://image2you.ru/48051/1340517/          http://image2you.ru/48051/1340504/ http://image2you.ru/48051/1340503/              http://image2you.ru/48051/1340502/            http://image2you.ru/48051/1340500/ http://image2you.ru/48051/1340499/        http://image2you.ru/48051/1340494/             http://image2you.ru/48051/1340493/ http://image2you.ru/48051/1340492/        http://image2you.ru/48051/1340491/           http://image2you.ru/48051/1340490/ http://image2you.ru/48051/1340489/             http://image2you.ru/48051/1340488/?","spam"
"ArioseRose","2014-11-13T15:20:31","Don't mind me, I'm just checking what the views are up to : )?","ham"
"The Silent Troll Defuser HD","2014-11-13T15:47:27","Hey guys can you check my YouTube channel I know you hate comments like  this one but I promise if you check my videos it will be entertaining I do  Shotgun Montages,Ninja Defuse Montages and Trolling please guys can you  check them out and thanks have a good day!!!!!!!?","spam"
"Tom Hosford","2014-11-13T17:42:06","To everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  He actually did buy views.?","ham"
"Tofik Miedzyń","2014-11-13T21:48:26","https://www.facebook.com/tofikmiedzynB/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&amp;theater ?","spam"
"MrValentinique","2014-11-13T22:33:31","https://www.facebook.com/eeccon/posts/733949243353321?comment_id=734237113324534&amp;offset=0&amp;total_comments=74   please like frigea marius gabriel comment :D?","spam"
"Ghazi Rizvi","2014-11-13T23:02:09","http://www.bing.com/explore/rewards?PUBL=REFERAFRIEND&amp;CREA=RAW&amp;rrid=_0f9fa8aa-243a-5c2f-c349-ede05ea397ca Bing rewards, earn free money. AND NO U CANT GET UR VIRUS IN BLUE!?","spam"
"Anthony1SV","2014-11-14T00:01:37","Please do buy these new Christmas shirts! You can buy at any time before  December 4th and they are sold worldwide! Don't miss out:  http://teespring.com/treechristmas?","spam"
"Ameenk Chanel","2014-11-14T11:50:02","Free my apps get 1m crdits ! Just click on the link and download a app and  done!! · Link: https://m.freemyapps.com/share/url/5af506e1?","spam"
"Brandon Wilson","2014-11-14T12:21:52","Why does a song like this have more views than Michael Jackson SMH?","ham"
"Leonel Hernandez","2014-11-14T12:35:38"," Something to dance to, even if your sad JUST dance!!   PSY - GANGNAM STYLE (?????) M/V: http://youtu.be/9bZkp7q19f0?","ham"
"InterGaming","2014-11-14T13:16:24","everyones back lool this is almost 3 years old and people are still hear!  xD?","ham"
"Carmen Racasanu","2014-11-14T13:27:52","How can this have 2 billion views when there's only me on the planet? LOL?","ham"
"diego mogrovejo","2014-11-14T13:28:08","I don't now why I'm watching this in 2014?","ham"
"BlueYetiPlayz -Call Of Duty and More","2015-05-23T13:04:32","subscribe to me for call of duty vids and give aways Goal-100 subs?","spam"
"Photo Editor","2015-06-05T14:14:48","hi guys please my android photo editor download. thanks https://play.google.com/store/apps/details?id=com.butalabs.photo.editor?","spam"
"Ray Benich","2015-06-05T18:05:16","The first billion viewed this because they thought it was really cool, the  other billion and a half came to see how stupid the first billion were...?","ham"
